שם השכונה,מספר מקלט,כתובת,שטח,סוג,נגישות,מס' נפשות,שייכות,קואורדינטות ציר x,קורדינטות ציר y,כתובות למפה,מינהל,שכונה,קטגוריה
בוכרים,מקלט ציבורי מספר 609,ישא ברכה 23,250,מקלט,,200,"עיריית ירושלים, אגף חירום וביטחון",31.79229011,35.2176755,"ישא ברכה 23, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בוכרים,מקלט ציבורי מספר 611 - מקלט נגיש,בן ציון גול 11,150,מחסה - הכי מוגן שיש,מקלט נגיש,120,"עיריית ירושלים, אגף חירום וביטחון",31.79316116,35.22088474,"בן ציון גול 11, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי, מקלט נגיש"
בוכרים,מקלט ציבורי מספר 612,יואל 16,50,מקלט,,40,חסידות קרלין,31.78987955,35.22089024,"יואל 16, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בוכרים,מקלט ציבורי מספר 910,עובדיה 22,100,מקלט,,80,בית ברכה - שייך לחסידות קרלין,31.79171933,35.21486308,"עובדיה 22, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בית הכרם,מקלט ציבורי מספר 744,הבנאי 4,170,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.77512976,35.19041839,"הבנאי 4, ירושלים",,,"בית הכרם, מקלט ציבורי"
בית הכרם,מקלט ציבורי מספר 745,הבנאי 30,170​,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.7775352,35.1922193,"הבנאי 30, ירושלים",,,"בית הכרם, מקלט ציבורי"
בית וגן,מקלט ציבורי מספר 742,שערי תורה 7,270,מקלט,,216,"עיריית ירושלים, אגף חירום וביטחון",31.76591212,35.18298046,"שערי תורה 7, ירושלים",,,"בית וגן, מקלט ציבורי"
בית וגן,מקלט ציבורי מספר 743,בית וגן 39,115​,מקלט,,92,"עיריית ירושלים, אגף חירום וביטחון",31.76926455,35.18451955,"בית וגן 39, ירושלים",בית וגן - 60,בית וגן,"בית וגן, מקלט ציבורי"
בית ישראל,​מקלט ציבורי מספר 908,שמשון פולנסקי 22,100,מקלט,,80,מינהל קהילתי בוכרים,31.79208743,35.2232357,"שמשון פולנסקי 22, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בית ישראל,מקלט ציבורי מספר 841,יואל 25,100​,מקלט,,80,בית כנסת מוסיוף,31.79120318,35.22139609,"יואל 25, ירושלים",,,"הבוכרים - בית ישראל, מקלט ציבורי"
בקעה,​מקלט ציבורי מספר 984,​יעל 11,160,מקלט,,128,"עיריית ירושלים, אגף תרבות, בית יעל",31.76190746,35.2212796,"​​​​​יעל 11, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,​מקלט ציבורי מספר 980,​רבקה 22,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.7551778,35.21700545,"​רבקה 22, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,מקלט ציבורי מספר ​995,​לוי 3,100,מקלט,,80,מינהל קהילתי בקעה,31.75755932,35.220897,"לוי 3, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,מקלט ציבורי מספר 682,ראובן 14,​135,מקלט,,108,"עיריית ירושלים, אגף חירום וביטחון",31.75951784,35.2188286,"ראובן 14, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,מקלט ציבורי מספר 683,דרך חברון 54,170,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.76002206,35.2235262,"דרך חברון 54, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,מקלט ציבורי מספר 684,אסתר המלכה 6,​295,מקלט,,236,"עיריית ירושלים, אגף חירום וביטחון",31.75916119,35.2229651,"אסתר המלכה 6, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,מקלט ציבורי מספר 685,מרדכי היהודי 6,200,מקלט,,160,"עיריית ירושלים, אגף חירום וביטחון",31.75722449,35.22199465,"מרדכי היהודי 6, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,מקלט ציבורי מספר 836,​מנשה 27,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.75968621,35.21989257,"​מנשה 27, ירושלים",,,"בקעה, מקלט ציבורי"
בקעה,מקלט ציבורי מספר 681,אפרים 8,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.75959347,35.2189683,"אפרים 8, ירושלים",,,"בקעה, מקלט ציבורי"
גאולה,מקלט ציבורי מספר ​621,הושע 8,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.78971852,35.2196259,"הושע 8, ירושלים",,,"גאולה, מקלט ציבורי"
גאולה,מקלט ציבורי מספר 637 - מקלט נגיש,נחמן מברלסב 18,100,מקלט,מקלט נגיש,80,"עיריית ירושלים, אגף חירום וביטחון",31.7877374,35.21997837,"נחמן מברלסב 18, ירושלים",,,"גאולה, מקלט ציבורי, מקלט נגיש"
גאולה,מקלט ציבורי מספר 830,צפניה 25,100,מקלט,,80,מינהל קהילתי בוכרים,31.7915136,35.21721693,"צפניה 25, ירושלים",,,"גאולה, מקלט ציבורי"
גאולה,מקלט ציבורי מספר 904,הזית 7,125,מקלט,,100,עיריית ירושלים - אגף התברואה,31.79038842,35.2112935,"הזית 7, ירושלים",,,"גאולה, מקלט ציבורי"
גבעת הורדים (רסקו),מקלט ציבורי מספר 715,דוד שמעוני 52,180,מקלט,,144,"עיריית ירושלים, אגף חירום וביטחון",31.76136372,35.20108822,"דוד שמעוני 52, ירושלים",,,"רסקו - גבעת הורדים, מקלט ציבורי"
גבעת הורדים (רסקו),מקלט ציבורי מספר 949,הטייסים 33,100,מקלט,,80,מינהל קהילתי גינות העיר,31.76547348,35.20729202,"הטייסים 33, ירושלים",,,"רסקו - גבעת הורדים, מקלט ציבורי"
גבעת שאול,מקלט ציבורי מספר 808,נג'ארה ישראל 27,100,מקלט,,80,מינהל קהילתי מיתרים,31.79066778,35.19194561,"רבי ישראל נג'ארה 27, ירושלים",,,"גבעת שאול, מקלט ציבורי"
גוננים,מקלט ציבורי מספר 700 מקלט נגיש,דוד שמעוני 15,84,מחסה - הכי מוגן שיש,מקלט נגיש,67,"עיריית ירושלים, אגף חירום וביטחון",31.76535868,35.20497305,"דוד שמעוני 15, ירושלים",,,"גוננים - קטמונים, מקלט נגיש, מקלט ציבורי"
הגבעה הצרפתית,מקלט ציבורי מספר 998,אבא ברדיצב 6,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.80571068,35.24163187,"אבא ברדיצ'ב 6, ירושלים",,,"הגבעה הצרפתית, מקלט ציבורי"
המושבה הגרמנית,מקלט ציבורי מספר 695,אמציה 2,250,מקלט,,200,"בית כנסת חב""ד",31.76231446,35.21556613,"אמציה 2, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
זכרון משה,מקלט ציבורי מספר 928,פרי חדש 8,130,מקלט,,104,"""עמותת ""אור לאה",31.78741269,35.21757937,"פרי חדש 8, ירושלים",,,"מרכז העיר, מקלט ציבורי"
טלביה,מקלט ציבורי מספר 807,דישראלי בנימין 7,115,מקלט,,92,"עיריית ירושלים, אגף חירום וביטחון",31.77014346,35.21700218,"בנימין ד'ישראלי 7, ירושלים",,,"טלביה - קוממיות, מקלט ציבורי"
מאה שערים,מקלט ציבורי מספר 632,מאה שערים 87,80,מקלט,,64,"עיריית ירושלים, אגף חירום וביטחון",31.78581751,35.22459891,"מאה שערים 87, ירושלים",,,"מאה שערים, מקלט ציבורי"
מאה שערים,מקלט ציבורי מספר 826,אוצר הספרים 6,150,מקלט,,120,"""ישיבת ""מורשת הנחל",31.78649294,35.2253953,"אוצר הספרים 6, ירושלים",,,"מאה שערים, מקלט ציבורי"
מורשה,מקלט ציבורי מספר 751,"הע""ח 10",100,מקלט,,80,בית ספר לצילום מוסררה,31.78310141,35.22640407,"הע""ח 10, ירושלים",,,"מוסררה - מורשה, מקלט ציבורי"
מורשה,מקלט ציבורי מספר 752,"הע""ח 21",100,מקלט,,80,בית ספר לצילום מוסררה,31.78155416,35.22677275,"הע""ח 21, ירושלים",,,"מוסררה - מורשה, מקלט ציבורי"
מורשה,מקלט ציבורי מספר 753,חיל הנדסה 16,100,מקלט,,80,מינהל קהילתי אשכולות,31.78579592,35.2270983,"חיל ההנדסה 16, ירושלים",,,"מוסררה - מורשה, מקלט ציבורי"
מחנה יהודה,מקלט ציבורי מספר 648,נהר פרת 15,236,מקלט,,188,"עיריית ירושלים, אגף חירום וביטחון",31.78336583,35.20939807,"נהר פרת 15, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מחנה יהודה,מקלט ציבורי מספר 821,עיניים למשפט 24,120,מקלט,,96,מינהל קהילתי לב העיר,31.78299762,35.2136024,"עיניים למשפט 24, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מחנה יהודה,מקלט ציבורי מספר 935,באר שבע 28,170,מקלט,,136,בית כנסת קהילתי,31.7827654,35.21055875,"באר שבע 28, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מחנה יהודה,מקלט ציבורי מספר 961,אבן ספיר 17,100,מקלט,,80,"""תנועת הנוער ""אריאל",31.78076286,35.21112847,"אבן ספיר 17, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מנחת-מלחה,מקלט ציבורי מספר 813,קדושי סטרומה 7,120,מקלט,,96,עיריית ירושלים - החט' לקידום נוער (קבוצת הגנה עצמית+להקה כורדית),31.7556061,35.1832669,"קדושי סטרומה 7, ירושלים",,,"מלחה, מקלט ציבורי"
מקור ברוך,מקלט ציבורי מספר 641,כפר נחום 25,180,מקלט,,144,"""עמותת ""המאור נתיב קודש",31.78927688,35.21424313,"כפר נחום 25, ירושלים",,,"מקור ברוך, מקלט ציבורי"
מקור ברוך,מקלט ציבורי מספר 643,מלכי ישראל 73,400,מקלט,,320,"עיריית ירושלים, אגף חירום וביטחון",31.790598,35.21084562,"מלכי ישראל 73, ירושלים",,,"מקור ברוך, מקלט ציבורי"
מקור ברוך,מקלט ציבורי מספר 812,"רש""י 109",110,מקלט,,88,"עיריית ירושלים, אגף חירום וביטחון",31.78892912,35.20733752,"רש""י 109, ירושלים",,,"מקור ברוך, מקלט ציבורי"
מקור ברוך,מקלט ציבורי מספר 839,"תשב""ץ 14",100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.78743779,35.20879377,"תשב""ץ 14, ירושלים",,,"מקור ברוך, מקלט ציבורי"
מקור ברוך,מקלט ציבורי מספר 909,יהודה המכבי 7,120,מקלט,,96,"עיריית ירושלים, אגף תרבות, גלריית תואר",31.78882674,35.20942097,"יהודה המכבי 7, ירושלים",,,"מקור ברוך, מקלט ציבורי"
מרכז העיר,מקלט ציבורי מספר 639,פינס מיכל 2,250,מקלט,,200,דגל ירושלים,31.78596058,35.21521827,"יחיאל מיכל פינס 2, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מרכז העיר,מקלט ציבורי מספר 932,הגלבוע 38,100,מקלט,,80,מינהל קהילתי לב העיר,31.78310575,35.21285728,"הגלבוע 38, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מרכז העיר,מקלט ציבורי מספר 973,הרב אבידע 5,100,מקלט,,80,"עיריית ירושלים, מנח""י, החט' לקידום נוער, בי""ס לדרמה",31.77791035,35.21665559,"הרב אבידע 5, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מרכז העיר,מקלט ציבורי מספר 974,שמואל הנגיד 9,100,מקלט,,80,"עיריית ירושלים, מנח""י, החט' לקידום נוער",31.77988294,35.2147312,"שמואל הנגיד 9, ירושלים",,,"מרכז העיר, מקלט ציבורי"
מרכז העיר,מקלט ציבורי מספר 985,שטראוס 13,50,מקלט,,40,"עמותת ""חלק ממני ברכה וחסד""-סיוע לנזקקים",31.78547133,35.21869972,"נתן שטראוס 13, ירושלים",,,"מרכז העיר, מקלט ציבורי"
נווה שאנן,מקלט ציבורי מספר 939 - מקלט נגיש,נוה שאנן 17,100,מקלט,מקלט נגיש,80,"עיריית ירושלים, אגף תרבות, תיאטרון קומקום",31.77218105,35.20100356,"נווה שאנן 17, ירושלים",,,"נווה שאנן, מקלט נגיש, מקלט ציבורי"
נחלאות,מקלט ציבורי מספר 657,צפת 21,500,מקלט,,400,"""עיריית ירושלים- אגף חברה, תנועת הנוער ""אריאל",31.77968218,35.21119735,"צפת 21, ירושלים",,,"נחלאות - לב העיר, מקלט ציבורי"
סנהדריה,מקלט ציבורי מספר 602,הסנהדרין 6,100,מקלט,,80,ישיבת חסידי מודזיץ,31.79755634,35.21872527,"הסנהדרין 6, ירושלים",,,"סנהדריה, מקלט ציבורי"
עין כרם,מקלט ציבורי מספר 903,חומת הצלפים 82,120,מקלט,,96,"עיריית ירושלים, אגף חירום וביטחון",31.76842599,35.16359315,"חומת הצלפים 82, ירושלים",עין כרם - 488,יובלים,"עין כרם, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 726,הנורית 123,350,מקלט,,280,"עיריית ירושלים, אגף חירום וביטחון",31.75304368,35.17212095,"הנורית 123, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 726ב',הנורית 125,120,מקלט,,96,"עיריית ירושלים, אגף חירום וביטחון",31.75252344,35.171552,"הנורית 125, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 727,הנורית 104 (34),185,מקלט,,148,"עיריית ירושלים, אגף חירום וביטחון",31.75457225,35.17056825,"הנורית 104, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 728,הנורית 102 (32),185,מקלט,,148,"עיריית ירושלים, אגף חירום וביטחון",31.754851,35.17017787,"הנורית 102, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 829,הרקפת 9,100,מקלט,,32,"""בית כנסת ""חי טייב",31.75350048,35.166039,"הרקפת 9, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 840 - מקלט נגיש,קוסטה ריקה 70,100,מקלט,מקלט נגיש,32,"בית חב""ד",31.75303908,35.16703205,"קוסטה ריקה 70, ירושלים",,,"עיר גנים, מקלט נגיש, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 901,איסלנד 13,150,מקלט,,120,"""בית הכנסת ""דוד משה",31.75927128,35.16653153,"איסלנד 13, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 902,הנורית 29,250,מקלט,,200,"עיריית ירושלים, אגף חברה, תנועת עזרא",31.75487408,35.16903666,"הנורית 29, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 905,הנרד 1,138,מקלט,,110,"""תנועת הנוער ""עזרא",31.75717138,35.1708159,"הנרד 1, ירושלים",,,"עיר גנים, מקלט ציבורי"
עיר גנים,מקלט ציבורי מספר 726א',הנורית 124,120,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.75270968,35.17106527,"הנורית 124, ירושלים",,,"עיר גנים, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 670,בוסתנאי 9,140,מקלט,,112,"עיריית ירושלים, אגף חירום וביטחון",31.76565605,35.21287922,"בוסתנאי 9, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 672,רות 10,150,מקלט,,120,"עיריית ירושלים, אגף חירום וביטחון",31.76506375,35.21736907,"רות 10, ירושלים",מושבה גרמנית - 520,גינות העיר,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 673,מלל 3,114,מקלט,,91,"עיריית ירושלים, אגף חירום וביטחון",31.78075326,35.21629892,"מלל 3, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 674,באכר 7,150,מקלט,,120,"עיריית ירושלים, אגף חירום וביטחון",31.76617023,35.218209,"באכר 7, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 676,אמיל זולא 6,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76455263,35.22099657,"אמיל זולא 6, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 677,וינדהם דידס 6,290,מקלט,,232,"עיריית ירושלים, אגף חירום וביטחון",31.76403005,35.22126489,"וינדהם דידס 6, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 693,יותם 9,170,מקלט,,136,"עיריית ירושלים, אגף חירום וביטחון",31.76274013,35.21468592,"יותם 9, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 697,עמק רפאים 68,160,מקלט,,128,"עיריית ירושלים, אגף חירום וביטחון",31.760935007382873,35.215828074320804,"עמק רפאים 68, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
עמק רפאים,מקלט ציבורי מספר 804,המליץ 8,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76488511,35.21965502,"המליץ 8, ירושלים",,,"המושבה הגרמנית, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 702,חלפתא 12,380,מקלט,,304,"עיריית ירושלים, אגף חירום וביטחון",31.75967715,35.20753835,"רבי חלפתא 12, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 704 - מקלט נגיש,יוחנן בן זכאי 5,200,מחסה - הכי מוגן שיש,מקלט נגיש,160,יורושחמט,31.75913637,35.21313979,"רבן יוחנן בן זכאי 5, ירושלים",,,"קטמון, מקלט נגיש, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 718 - מקלט נגיש,רבי צדוק 6,120,מקלט,מקלט נגיש,96,מינהל קהילתי גוננים,31.75450818,35.19382965,"רבי צדוק 6, ירושלים",,,"קטמון, מקלט ציבורי, מקלט נגיש"
קטמון,מקלט ציבורי מספר 755,דב הוז 3,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.75640292,35.19666642,"דב הוז 3, ירושלים",גוננים - 156,גוננים,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 756,סן מרטין 1,100,מקלט,,80,"""תנועת נוער ""תורה בציון צדק",31.75628558,35.1946299,"חוזה סן מרטין 1, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 757,השומר 5,100,מקלט,,80,"עיריית ירושלים, החט' לקידום נוער וצעירים (מועדון נוער)",31.75571857,35.19787365,"השומר 5, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 805,יורדי הסירה 21,370,מקלט,,296,"עיריית ירושלים, אגף חירום וביטחון",31.76235525,35.21082471,"יורדי הסירה 21, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 817,בן גמלא יהושע 7,120,מקלט,,96,"מינהל קהילתי, גינות העיר",31.76077592,35.21231381,"יהושע בן גמלא 7, ירושלים",קטמון הישנה - 152,גינות העיר,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 824,"רשב""ג 31",150,מקלט,,120,"עיריית ירושלים, אגף תרבות, תיאטרון מיקרו",31.7554334,35.2086146,"רשב""ג 32-30, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 825,אלעזר בן יאיר 24,150,מקלט,,120,"""תנועת הנוער ""אריאל",31.75360963,35.20166873,"אלעזר בן יאיר 24, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 828,הרב חסדא 10,100,מקלט,,80,מועדון איגרוף,31.75971235,35.21328746,"רבי חסדא 10, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 831,דב הוז 7,150,מקלט,,120,"עיריית ירושלים, אגף תרבות, קשת אומנויות",31.7562636,35.1954492,"דב הוז 7, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 842 - מקלט נגיש,בר יוחאי 8,174,מקלט,מקלט נגיש,139,בית כנסת לעולי העדה האתיופית,31.75311816,35.19538627,"בר יוחאי 8, ירושלים",,,"קטמון, מקלט ציבורי, מקלט נגיש"
קטמון,מקלט ציבורי מספר 906,בר יוחאי 2,100,מקלט,,80,"""בית כנסת ""גל אברהם",31.75430501,35.19884543,"בר יוחאי 2, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 923,אלעזר המודעי 15,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76199993734908,35.21387974927489,"אלעזר המודעי 15, ירושלים",,,"קטמון, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 937,חזקיהו המלך 38,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76174784,35.20969289,"חזקיהו המלך 38, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 965,יצחק שדה 7,100,מקלט,,80,"""בית כנסת ""חבצלת השרון",31.75373649,35.19636583,"יצחק שדה 7, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 967,אנטיגונוס 7,100,מקלט,,80,תנועת אריאל,31.75888667,35.209264,"אנטיגנוס 4, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 969,יוסי בן יועזר 16,100,מקלט,,80,"עיריית ירושלים, אגף הספורט",31.75687008,35.20875076,"יוסי בן יועזר 16, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 976 - מקלט נגיש,אלמליח אברהם 41,50,מקלט,מקלט נגיש,40,"עיריית ירושלים, אגף חירום וביטחון",31.75536971,35.19197755,"אלמליח אברהם 41, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי, מקלט נגיש"
קטמון,מקלט ציבורי מספר 981,אלמליח אברהם 27,50,מקלט,,40,"עיריית ירושלים, אגף חברה - צופים",31.75434157,35.1920082,"אברהם אלמליח 27, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי"
קטמון,מקלט ציבורי מספר 987 - מקלט נגיש,יוחנן בן זכאי 38,100,מקלט,מקלט נגיש,80,"""בית כנסת ""אוהל משה",31.75922677,35.2089806,"יוחנן בן זכאי 38, ירושלים",,,"גוננים - קטמונים, מקלט ציבורי, מקלט נגיש"
קטמון הישנה,מקלט ציבורי מספר 669 - מקלט נגיש,"הפלמ""ח 42",130,מחסה - הכי מוגן שיש,מקלט נגיש,104,הגיל השלישי,31.76639437,35.20885859,"הפלמ""ח 42, ירושלים",,,"קטמון הישנה, מקלט נגיש, מקלט ציבורי"
קטמון הישנה,מקלט ציבורי מספר 671 - מקלט נגיש,"כ""ט בנובמבר 22",160,מקלט,מקלט נגיש,128,"עיריית ירושלים, אגף חירום וביטחון",31.76616707,35.21380395,"כ""ט בנובמבר 22, ירושלים",,,"קטמון הישנה, מקלט נגיש, מקלט ציבורי"
קטמון הישנה,מקלט ציבורי מספר 696,ריש לקיש 3,164,מקלט,,131,"עיריית ירושלים, אגף חירום וביטחון",31.76129246,35.21325687,"ריש לקיש 3, ירושלים",,,"קטמון הישנה, מקלט ציבורי"
קטמון הישנה,מקלט ציבורי מספר 703,יוחנן בן זכאי 53,170,מקלט,,136,"""בית כנסת ""זכות אבות",31.7563287,35.20489024,"רבן יוחנן בן זכאי 53, ירושלים",,,"קטמון הישנה, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 721,אורוגוואי 29,130,מקלט,,104,"עיריית ירושלים, אגף בריאות הציבור, מינהל קהילה",31.75547995,35.17732316,"אורוגואי 29, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 722,שטרן אברהם 67,130,מקלט,,104,"עיריית ירושלים, אגף חירום וביטחון",31.75637467,35.17666523,"אברהם שטרן 67, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 723- מקלט נגיש,שטרן אברהם 51,130,מקלט,מקלט נגיש,104,"עיריית ירושלים, אגף חירום וביטחון",31.75424528,35.17664425,"אברהם שטרן 51, ירושלים",,,"קריית יובל, מקלט נגיש, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 724,וולטה העלית 9,90,מקלט,,72,"עיריית ירושלים, אגף חירום וביטחון",31.75837336,35.17758566,"וולטה עילית 9, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 736,צ'ילה 8,200,מקלט,,160,מינהל קהילתי יובלים,31.76074271,35.1704658,"צ'ילה 8, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 737 - מקלט נגיש,יאנוש קורצ'אק 32,150,מקלט,מקלט נגיש,120,"""בית כנסת ""משכן מרדכי",31.76016281,35.1720983,"יאנוש קורצ'אק 32, ירושלים",,,"קריית יובל, מקלט ציבורי, מקלט נגיש"
קריית היובל,מקלט ציבורי מספר 738,אנילביץ 78,90,מקלט,,72,"""תנועת הנוער ""בני עקיבא",31.76217764,35.17317009,"אנילביץ' 78, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 739,שמורק 3,90,מקלט,,72,"עיריית ירושלים, אגף חברה תנועת נוער השומר הצעיר",31.76613405,35.17604607,"א.מ. שמורק 3, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 814,וולטה עלית 3,130,מקלט,,104,מינהל קהילתי יובלים,31.75925474,35.17712367,"וולטה עילית 3, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 814א,וולטה העלית 3,130,מקלט,,104,מינהל קהילתי יובלים- בית הקהילות,31.75925474,35.17712367,"וולטה עילית 3, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 815,רבינוביץ אהרון 2,168,מקלט,,134,מכון למוסיקה,31.7653248,35.1752983,"אהרון רבינוביץ' 2, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 815א,רבינוביץ אהרון 2,170,מקלט,,136,"""בית הכנסת ""יד אבי",31.76531568,35.1752983,"רבינוביץ אהרון 2, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 963,זנגויל ישראל 11,100,מקלט,,80,"""בית הכנסת ""שיח ישראל",31.76583584,35.1773224,"ישראל זנגוויל 11, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 964,מאיר גרונולד 8,180,מקלט,,144,"עיריית ירושלים, אגף חירום וביטחון",31.75728607,35.1760216,"מאיר גרונולד 8, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 983 - מקלט נגיש,גורדון 10,100,מקלט,מקלט נגיש,80,"""תנועת הנוער ""עזרא",31.76657686,35.17703862,"א.ד. גורדון 10, ירושלים",,,"קריית יובל, מקלט נגיש, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 992,אטינגר 19,100,מקלט,,80,"עיריית ירושלים, אגף חירום וביטחון",31.76325667,35.1774812,"מעלות יצחק צבי אטינגר 19, ירושלים",,,"קריית יובל, מקלט ציבורי"
קריית היובל,מקלט ציבורי מספר 993,קליינמן 3,100,מקלט,,80,"עיריית ירושלים, אגף תרבות, תיאטרון משומשו",31.76409128,35.1746754,"משה קליינמן 3, ירושלים",,,"קריית יובל, מקלט ציבורי"
